27.5,2,33.5,78,45,0,17,78,56.5,1,9,79
29,6.5,32.5,74.5,46,3,16.5,76,57,2,8.5,77.5
30,10,31,71,47,5,15.5,74,57.5,3.5,7.5,76
31.5,14.5,29,68,48,7.5,14.5,71.5,58.5,5,7,74.5
34,18,27,64.5,50,9.5,13,69.5,59,6,6,73
37,21,24.5,61,52,11.5,11.5,67.5,60.5,7,5,72
40,24,22,58,54,13,10,65.5,61.5,8,4,70.5
43.5,27,19,55.5,56,14,8.5,64,63,8.5,2.5,69.5
47,29,16,53,58.5,15.5,6.5,62.5,64.5,9,1.5,68.5
51,31,12.5,51,61,16.5,4.5,61,66,9.5,0,67.5
55.5,32.5,9,49,64,17,2.5,60,67.5,9.5,,66.5
60,33.5,5.5,47.5,66.5,17.5,0,59,69,9.5,,65.5
64,34,2,46,69,17.5,,58,71,9.5,,65
69,34,,45,72,17.5,,57,72.5,9.5,,64.5
73,34,,44.5,75,,,56.5,74.5,,,63.5
78,,,44.5,78,,,56.5,76,,,63.5
,,,44.5,,,,56.5,78,,,63.5
,,,,,,,,79,,,63.5
