# volumen(mL), presion(bar)
4,13
3.95,13.5
3.9,13.5
3.85,13.75
3.8,14
3.75,14
3.7,14
3.65,14.5
3.6,14.5
3.55,14.75
3.5,15
3.45,15
3.4,15.5
3.35,15.5
3.3,15.75
3.2,16
3.1,16.5
3,17
2.9,17.5
2.8,18
2.7,19
2.6,19.5
2.5,20
2.4,21
2.3,21.5
2.2,22.5
2.1,23
2,24
1.95,24.5
1.9,24.5
1.85,25
1.8,25.5
1.75,26
1.7,26.5
1.65,27
1.6,27.5
1.55,28
1.5,28.5
1.45,29
1.4,29
1.35,29
1.3,29
1.25,29
1.2,29
1.15,29
1.1,29
1.05,29
1,29
0.95,29
0.9,29
0.85,29
0.8,29
0.75,29.5
0.7,29.5
0.65,29.5
0.6,30
0.55,30
0.5,30
0.45,30.5
0.4,31
0.35,31.5
0.3,33
0.25,37.5
