# volumen(mL), presion(bar)
4,13.5
3.95,14
3.9,14
3.85,14
3.8,14.5
3.75,14.5
3.7,15
3.65,15
3.6,15
3.55,15.5
3.5,15.5
3.45,16
3.4,16
3.35,16
3.3,16.5
3.2,17
3.1,17.5
3,18
2.9,18.5
2.8,19
2.7,19.5
2.6,20
2.5,20.5
2.4,21.5
2.3,22
2.2,23
2.1,24
2,24.5
1.9,25.5
1.8,26.5
1.7,27.5
1.6,28.5
1.5,29.5
1.45,30
1.4,30.5
1.35,31
1.3,31
1.25,31
1.2,31
1.15,31
1.1,31
1.05,31
1,31.5
0.95,31.5
0.9,31.5
0.85,31.5
0.8,31.5
0.75,31.5
0.7,31.5
0.65,31.5
0.6,32
0.55,32
0.5,32.5
0.45,32.5
0.4,33
0.35,33
0.3,35
0.25,40.5
